select s.operator_code, s.line_name, t.operator_code, t.line_name, t.service_description, count(*) from sirivm_journeys as s left join timetable_journeys as t on s.departure_time = t.departure_time and s.origin = t.origin and s.destination = t.destination group by s.operator_code, s.line_name, t.operator_code, t.line_name, t.service_description order by s.operator_code, s.line_name, t.operator_code, t.line_name;
+-----------------+-------------+-----------------+----------------------------+--------------------------------------------------------------------------------------+---------+
| operator_code   | line_name   | operator_code   | line_name                  | service_description                                                                  | count   |
|-----------------+-------------+-----------------+----------------------------+--------------------------------------------------------------------------------------+---------|
| ATS             | 150         | ARBB            | 150|Max                    | Aylesbury - Leighton Buzzard - Milton Keynes                                         | 22      |
| ATS             | 70          | ARBB            | 70                         | Luton - Dunstable - Leighton Buzzard - Milton Keynes                                 | 23      |
| ATS             | 97          | ARHE            | 97                         | Arlesey / Stotfold - Hitchin                                                         | 27      |
| ATS             | F70         | ARBB            | F70                        | Luton - Dunstable - Leighton Buzzard - Milton Keynes                                 | 26      |
| CBLE            | 16          | CBLL            | 16                         | Kettering - Thrapston - Raunds                                                       | 16      |
| CBLE            | 188         | CBBH            | 188                        | Hitchin - Biggleswade - Wrestlingworth - Potton - Sandy                              | 12      |
| CBLE            | 190         | CBBH            | 190                        | Hitchin - Biggleswade - Potton - Gamlingay - Sandy                                   | 11      |
| CBLE            | 34          | <null>          | <null>                     | <null>                                                                               | 8       |
| CBLE            | 35          | <null>          | <null>                     | <null>                                                                               | 2       |
| CBLE            | 62          | CBLL            | 62                         | Northampton - Brixworth - Scaldwell                                                  | 1       |
| CBLE            | 8           | <null>          | <null>                     | <null>                                                                               | 9       |
| CBLE            | 85          | CBBH            | 85                         | Biggleswade Town Service - Clockwise Direction                                       | 2       |
| CBLE            | 85          | <null>          | <null>                     | <null>                                                                               | 10      |
| CBLE            | 85A         | <null>          | <null>                     | <null>                                                                               | 12      |
| CBLE            | 89          | CBBH            | 89                         | Henlow Camp - Hitchin                                                                | 1       |
| CBLE            | 89          | <null>          | <null>                     | <null>                                                                               | 3       |
| CBLE            | 9           | CBLL            | 9                          | Peterborough - Stamford - Oakham                                                     | 7       |
| CBLE            | 9           | <null>          | <null>                     | <null>                                                                               | 10      |
| CBLE            | RF1         | CBLL            | RF1|Rutland Flyer          | Melton Mowbray - Oakham - Corby                                                      | 26      |
| CBLE            | RF1         | <null>          | <null>                     | <null>                                                                               | 8       |
| CBLE            | W8          | <null>          | <null>                     | <null>                                                                               | 8       |
| FECS            | X1          | FECS            | X1                         | Lowestoft - Norwich - Peterborough                                                   | 52      |
| FECS            | X1          | <null>          | <null>                     | <null>                                                                               | 108     |
| GP              | 20          | GPLM            | 20                         | Bedford : Brickhill - Town Centre                                                    | 3       |
| GP              | 20          | <null>          | <null>                     | <null>                                                                               | 3       |
| GP              | 200         | GPLM            | 200                        | Biggleswade - Shefford - Clophill - Silsoe - Pulloxhill - Flitwick                   | 1       |
